"Charge_Type";"Date";"HV_Code";"Charge_Duration";"Start_Time";"Stop_Time";"Time_Zone";"DayType";"KWh";"Splits";"Noise"
"L1";"5/1/2010";"H012.V017";12;"20:00";"21:50";"Shoulder 2";"W";3,84;TRUE;0
"L1";"5/1/2010";"H012.V017";9;"20:30";"21:50";"Shoulder 2";"W";2,88;FALSE;2,88
"L1";"5/1/2010";"H012.V017";14;"22:00";"0:10";"Off Peak";"W";4,48;TRUE;0
"L1";"6/1/2010";"H012.V017";2;"11:40";"11:50";"Shoulder 1";"W";0,64;FALSE;0
"L1";"6/1/2010";"H012.V017";6;"13:00";"13:50";"Shoulder 1";"W";1,92;TRUE;0
"L1";"6/1/2010";"H012.V017";3;"14:00";"14:20";"Peak";"W";0,96;TRUE;0
"L1";"6/1/2010";"H012.V017";5;"18:10";"18:50";"Peak";"W";1,6;FALSE;0
"L1";"6/1/2010";"H012.V017";35;"23:50";"5:30";"Off Peak";"W";11,2;FALSE;0
"L1";"8/1/2010";"H012.V017";1;"10:50";"10:50";"Shoulder 1";"W";0,32;FALSE;0
"L1";"4/1/2010";"H013.V018";6;"4:50";"5:40";"Off Peak";"W";1,92;FALSE;0
"L1";"4/1/2010";"H013.V018";2;"20:50";"21:00";"Shoulder 2";"W";0,64;FALSE;0
"L1";"5/1/2010";"H013.V018";3;"14:20";"14:40";"Peak";"W";0,96;FALSE;0
"L1";"5/1/2010";"H013.V018";5;"15:50";"16:30";"Peak";"W";1,6;FALSE;0
"L1";"5/1/2010";"H013.V018";1;"20:00";"20:00";"Shoulder 2";"W";0,32;FALSE;0
"L1";"5/1/2010";"H013.V018";6;"23:10";"0:00";"Off Peak";"W";1,92;FALSE;0
"L1";"6/1/2010";"H013.V018";5;"14:50";"15:30";"Peak";"W";1,6;FALSE;0
"L1";"6/1/2010";"H013.V018";5;"17:00";"17:40";"Peak";"W";1,6;FALSE;0
"L1";"7/1/2010";"H013.V018";7;"22:10";"23:10";"Off Peak";"W";2,24;FALSE;0
"L1";"8/1/2010";"H013.V018";1;"12:10";"12:10";"Shoulder 1";"W";0,32;FALSE;0
"L1";"8/1/2010";"H013.V018";3;"19:30";"19:50";"Peak";"W";0,96;TRUE;0
"L1";"8/1/2010";"H013.V018";3;"20:00";"20:20";"Shoulder 2";"W";0,96;TRUE;0
"L1";"8/1/2010";"H013.V018";1;"21:20";"21:20";"Shoulder 2";"W";0,32;FALSE;0
"L1";"4/1/2010";"H014.V019";6;"19:00";"19:50";"Peak";"W";1,92;TRUE;0
"L1";"4/1/2010";"H014.V019";1;"20:00";"20:00";"Shoulder 2";"W";0,32;TRUE;0
"L1";"4/1/2010";"H014.V019";3;"20:20";"20:40";"Shoulder 2";"W";0,96;FALSE;0
"L1";"4/1/2010";"H014.V019";4;"21:20";"21:50";"Shoulder 2";"W";1,28;TRUE;0
"L1";"4/1/2010";"H014.V019";2;"22:00";"22:10";"Off Peak";"W";0,64;TRUE;0
"L1";"5/1/2010";"H014.V019";2;"0:30";"0:40";"Off Peak";"W";0,64;FALSE;0
"L1";"5/1/2010";"H014.V019";2;"9:50";"10:00";"Shoulder 1";"W";0,64;FALSE;0
"L1";"5/1/2010";"H014.V019";2;"13:20";"13:30";"Shoulder 1";"W";0,64;FALSE;0
"L1";"6/1/2010";"H014.V019";13;"3:00";"5:00";"Off Peak";"W";4,16;FALSE;0
"L1";"6/1/2010";"H014.V019";11;"22:00";"23:40";"Off Peak";"W";3,52;FALSE;0
"L1";"7/1/2010";"H014.V019";5;"20:00";"20:40";"Shoulder 2";"W";1,6;FALSE;0
"L1";"8/1/2010";"H014.V019";9;"12:00";"13:20";"Shoulder 1";"W";2,88;FALSE;0
"L1";"8/1/2010";"H014.V019";20;"15:50";"19:00";"Peak";"W";6,4;FALSE;0
"L1";"8/1/2010";"H014.V019";2;"19:40";"19:50";"Peak";"W";0,64;TRUE;0
"L1";"8/1/2010";"H014.V019";12;"20:00";"21:50";"Shoulder 2";"W";3,84;TRUE;0
"L1";"8/1/2010";"H014.V019";12;"22:00";"23:50";"Off Peak";"W";3,84;TRUE;0
"L1";"4/1/2010";"H014.V020";8;"5:00";"6:10";"Off Peak";"W";2,56;FALSE;0
"L1";"4/1/2010";"H014.V020";2;"21:40";"21:50";"Shoulder 2";"W";0,64;FALSE;0
"L1";"5/1/2010";"H014.V020";2;"8:40";"8:50";"Shoulder 1";"W";0,64;FALSE;0
"L1";"5/1/2010";"H014.V020";1;"23:20";"23:20";"Off Peak";"W";0,32;FALSE;0
"L1";"6/1/2010";"H014.V020";1;"9:00";"9:00";"Shoulder 1";"W";0,32;FALSE;0
"L1";"7/1/2010";"H014.V020";9;"20:10";"21:30";"Shoulder 2";"W";2,88;FALSE;0
"L1";"7/1/2010";"H014.V020";2;"21:40";"21:50";"Shoulder 2";"W";0,64;FALSE;0
"L1";"8/1/2010";"H014.V020";5;"4:30";"5:10";"Off Peak";"W";1,6;FALSE;0
"L1";"8/1/2010";"H014.V020";4;"13:20";"13:50";"Shoulder 1";"W";1,28;TRUE;0
"L1";"8/1/2010";"H014.V020";1;"14:00";"14:00";"Peak";"W";0,32;TRUE;0
"L1";"4/1/2010";"H015.V021";2;"20:40";"20:50";"Shoulder 2";"W";0,64;FALSE;0
"L1";"5/1/2010";"H015.V021";2;"14:10";"14:20";"Peak";"W";0,64;FALSE;0
